Name,Meaning
aarav,peaceful; wisdom
aabha,glow; light
aadarsh,ideal; perfection
aaditya,son of Aditi; the sun
aakash,sky; vastness
akash,sky; open space
aalia,exalted; noble
aamir,prosperous; full of life
atharv,sage; one who is learned
aboli,flower; name of a tree
amogh,unfailing; infallible
aanchal,shelter; protective covering
aanya,graceful; inexhaustible
aarohi,ascending; musical note
aarti,holy fire ritual
aashish,blessing; benediction
aashna,beloved; devoted
aayush,long life; age
abhay,fearless; courageous
abhilasha,desire; aspiration
abhimanyu,heroic son of Arjuna
abhimay,pride; self-respect
abhishek,sacred bath; ritual
abhijeet,victorious; one who wins
abhinav,innovative; new
abhishala,offering; sacrifice
abhiram,pleasing; charming
abhiruchi,taste; preference
abhinaya,expression; acting
achala,steady; immovable
adarsh,ideal; model
advait,unique; non-dual
agastya,sage; star name
agni,fire; energy
ahaan,dawn; sunrise
ahilya,maiden; wife of sage Gautama
ahir,protector; cowherd
ajay,unconquered; invincible
akashdeep,light of the sky; star
akriti,shape; form
akshara,imperishable; alphabet
akshay,eternal; indestructible
akshita,permanent; unbroken
alankrita,decorated; adorned
alka,lock of curly hair
amala,pure; spotless
amar,immortal; eternal
amaya,night rain; boundless
ambika,goddess Parvati; mother
amisha,beautiful; truthful
amit,infinite; boundless
amita,limitless; immeasurable
amod,joy; pleasure
amruta,immortal; nectar
amrita,immortal nectar; divine ambrosia
amritesh,lord of nectar; Shiva
anagha,sinless; pure
anand,joy; happiness
ananya,unique; incomparable
anant,endless; infinite
anaya,caring; guardian
aneesh,supreme; paramount
angel,divine messenger
anika,goddess Durga; brilliance
anil,wind; air
anirudh,unrestricted; grandson of Krishna
anjali,offering; salutation
ankit,marked; distinguished
ankur,sprout; new beginning
anmol,priceless; invaluable
ansh,portion; part
anshika,minute particle; fragment
antara,melody; difference
anthar,inner; deep
anu,atom; small
aarsh,king; ruler
anubhav,experience; knowledge
anugraha,blessing; grace
anuhya,unexpected; surprise
anup,unique; incomparable
anita,grace; favor
anupama,incomparable; matchless
anurag,love; devotion
anushree,beautiful; auspicious
anusha,beautiful morning; star
anushka,grace; blessing
anusri,divine beauty; goddess Lakshmi
anuj,younger brother
anvesha,search; quest
aparna,goddess Parvati; leafless
apurva,unique; rare
aradhana,worship; devotion
aravind,lotus; purity
arhaan,ruler; king
arijit,one who conquers enemies
arjun,bright; shining; hero of Mahabharata
ark,sun; radiant
aniket,one who has no home; Lord Shiva
armaan,wish; desire
arohi,ascending; musical tone
arpita,dedicated; devoted
arsh,heavenly; divine
arshiya,heavenly; angel
arth,meaning; wealth
aruna,reddish-brown; dawn
arundhati,star; devoted wife
arushi,first rays of sun
aryan,noble; pure
arya,respected; noble
asavari,musical raga; melody
asha,hope; aspiration
ashish,blessing; benediction

ashok,without sorrow; remover of grief
asita,river Yamuna; dark
asmita,pride; identity
astha,faith; belief
atul,incomparable; matchless
atulya,invaluable; incomparable
avani,earth; mother nature
avinash,indestructible; eternal
aviral,continuous; uninterrupted
avisha,life; lively
avneet,modest; humble
avyay,imperishable; eternal
aaron,exalted; strong mountain (Hebrew)
abigail,father’s joy (Hebrew)
abraham,father of many nations (Hebrew)
adalyn,noble; kind (Germanic)
adele,noble; serene (French/German)
aishwarya,prosperity; wealth (Sanskrit)
adnan,settler; one who stays (Arabic)
adrienne,from the city of Adria (Latin)
agatha,good; honorable (Greek)
ahmed,praiseworthy; commendable (Arabic)
aileen,bright; shining light (Scottish/Irish)
akira,bright; clear (Japanese)
albert,noble; bright (Germanic)
alessia,defender; helper (Italian)
alexander,defender of men (Greek)
alexis,helper; defender (Greek)
alfonso,noble; ready (Spanish/Italian)
alfred,wise counselor (Old English)
ali,exalted; noble (Arabic)
alice,noble; truthful (Germanic)
alina,bright; beautiful (Slavic)
aliya,exalted; noble (Arabic/Hebrew)
allan,handsome; cheerful (Celtic)
alma,nurturing; soul (Latin/Spanish)
alonzo,ready for battle (Spanish/Italian)
alyssa,noble; rational (Greek)
amadeus,love of God (Latin)
amara,eternal; unfading (Sanskrit/Latin)
amber,precious jewel; fossilized resin (Arabic/English)
amelia,work; industrious (Germanic)
amina,trustworthy; faithful (Arabic)
amir,prince; ruler (Arabic/Hebrew)
amory,brave; powerful (Germanic)
amy,beloved; dearly loved (French/Latin)
anabel,graceful; beautiful (Spanish/Portuguese)
andrew,manly; brave (Greek)
anastasia,resurrection; rebirth (Greek)
anders,strong; manly (Scandinavian)
andrea,manly; brave (Greek/Italian)
angelica,angelic; pure (Latin)
angelo,angel; messenger (Italian)
anika,grace; brilliance (Indian/Greek)
anisa,companion; friendly (Arabic)
anjali,offering; salutation (Indian)
ankara,anchor; steady (Turkish)
ann,grace; favor (Hebrew/Latin)
anna,grace; favor (Hebrew)
anne,grace; favor (French/English)
annette,little grace (French)
annie,gracious; merciful (English)
anthony,priceless; highly praiseworthy (Latin)
anton,worthy of praise (Latin/Slavic)
